Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	181.902665561	233.097396062	-16.4439269303	741.575093391	-192.963770945	41.2202079598	-265.725816358	-120.695512874
1	-47.4922250179	38.7764636197	-107.919745236	6.09340507088	-40.314860951	21.0608963589	-63.6710760805	11.0953143005
2	-538.820964284	76.4968472175	-626.606364133	-381.572470064	453.981093201	40.2379742418	394.722681946	508.030083317
3	-650.663633073	31.658392688	-692.651465233	-599.680242865	552.634114787	43.2223479145	490.099563077	619.481940476
4	-964.417806607	35.4363178334	-1019.84742668	-923.504854987	843.290324271	39.0585538788	788.592751928	899.531092237
5	-1186.69022962	64.9308203261	-1297.05164239	-1065.72002627	1060.81625559	39.9379010202	984.062898782	1122.30535409
6	-1225.36425237	49.7088354127	-1320.74695091	-1109.94163974	1050.58126605	61.4689196325	910.817112894	1131.24775622
7	-1247.01872912	41.9984270906	-1338.09229489	-1160.90947662	1090.90215229	48.0931237349	989.916634296	1176.30184286
8	-1190.75228459	97.5860000545	-1358.59160163	-1024.73508085	1044.82817608	79.3651270848	882.715845088	1197.33308882
9	-1337.62890006	72.8053338597	-1484.76933999	-1211.25128245	1159.91663139	66.6198062714	1049.6320783	1281.70050423
10	-1341.67606207	57.9200423329	-1435.4981009	-1236.97216814	1166.76731351	58.0716918104	1078.82453813	1256.15324052
11	-1406.53648798	87.4927325711	-1570.34514148	-1307.96169114	1236.45315493	76.4467930522	1161.86236505	1404.89900761
12	-1459.35496327	72.7477566223	-1599.03684731	-1384.79156181	1285.34210428	70.7898490381	1188.0535472	1401.20764927
13	-1404.52492275	76.5833786715	-1545.86121559	-1308.39430588	1265.17515182	76.4640924595	1178.39555092	1420.33700339
14	-1479.71146644	68.4620218046	-1625.84028922	-1394.54512254	1307.12565988	61.3934423597	1221.75536621	1424.97530515
