Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	-154.136138723	33.141214528	-209.496371068	-104.656997224	14.545403557	30.078994162	-29.11955559	58.99233722
1	-828.246984268	36.3252820492	-893.673481848	-772.817952657	708.068961523	46.8668612983	642.174070604	776.745067595
2	-930.874513497	90.9028823061	-1043.33074041	-771.197490946	792.790209053	79.9683012908	654.54511368	915.657395123
3	-1112.91079884	63.7767409705	-1235.30911179	-1005.82210698	994.880694	67.0789907932	888.550383173	1077.76098056
4	-1282.48276651	53.4505119553	-1390.66148684	-1213.64423422	1124.17387671	52.380968508	1065.1292476	1234.892671
5	-1330.72312624	53.0928868849	-1407.50785082	-1251.75716053	1192.79067482	46.0350738151	1113.25812977	1270.36004872
6	-1370.6305308	74.8105478888	-1490.21313898	-1254.66557598	1189.02567116	82.3120652287	1054.71419563	1325.23337718
7	-1462.77265827	44.2863585228	-1547.33054105	-1412.24451992	1292.50174952	41.0522193346	1246.02071987	1373.11437682
